binomial,genus,epithet,family,order,group,nb,nb_sources,nb_countries,nb_sites,wsg_est,wsg_est_trunk,wsg_est_branch,wsg_raw
Callicarpa mollis,Callicarpa,mollis,Lamiaceae,Lamiales,Angiosperms,1,1,1,1,0.59,0.6,0.57,0.66
Cephalotaxus harringtonii,Cephalotaxus,harringtonii,Cephalotaxaceae,Cupressales,Gymnosperms,1,1,1,1,0.56,0.56,0.54,0.54
Cerasus incisa,Cerasus,incisa,Rosaceae,Rosales,Angiosperms,6,2,1,2,0.65,0.66,0.62,0.61
Cerasus jamasakura,Cerasus,jamasakura,Rosaceae,Rosales,Angiosperms,6,2,1,2,0.65,0.65,0.61,0.6
Prunus leveilleana,Prunus,leveilleana,Rosaceae,Rosales,Angiosperms,2,2,1,2,0.61,0.61,0.6,0.58
Prunus maximowiczii,Prunus,maximowiczii,Rosaceae,Rosales,Angiosperms,1,1,1,1,0.56,0.56,0.58,0.49
Prunus sargentii,Prunus,sargentii,Rosaceae,Rosales,Angiosperms,2,2,1,2,0.59,0.59,0.59,0.54
Cerasus spachiana,Cerasus,spachiana,Rosaceae,Rosales,Angiosperms,1,1,1,1,0.6,0.61,0.59,0.55
Clerodendrum trichotomum,Clerodendrum,trichotomum,Lamiaceae,Lamiales,Angiosperms,2,2,1,2,0.47,0.47,0.46,0.43
Clethra barbinervis,Clethra,barbinervis,Clethraceae,Ericales,Angiosperms,3,3,1,3,0.54,0.54,0.53,0.51
Corylus sieboldiana,Corylus,sieboldiana,Betulaceae,Fagales,Angiosperms,1,1,1,1,0.51,0.51,0.5,0.48
Daphniphyllum teysmannii,Daphniphyllum,teysmannii,Daphniphyllaceae,Saxifragales,Angiosperms,6,2,1,2,0.5,0.51,0.51,0.49
Diospyros japonica,Diospyros,japonica,Ebenaceae,Ericales,Angiosperms,6,2,1,2,0.54,0.54,0.56,0.47
Elaeocarpus decipiens,Elaeocarpus,decipiens,Elaeocarpaceae,Oxalidales,Angiosperms,3,2,2,2,0.56,0.56,0.56,0.55
Euonymus oxyphyllus,Euonymus,oxyphyllus,Celastraceae,Celastrales,Angiosperms,1,1,1,1,0.6,0.6,0.58,0.59
Eurya emarginata,Eurya,emarginata,Pentaphylacaceae,Ericales,Angiosperms,6,2,1,2,0.54,0.54,0.56,0.52
Eurya japonica,Eurya,japonica,Pentaphylacaceae,Ericales,Angiosperms,9,5,3,5,0.62,0.63,0.6,0.59
Staphylea japonica,Staphylea,japonica,Staphyleaceae,Crossosomatales,Angiosperms,5,2,1,2,0.47,0.47,0.48,0.43
Ficus erecta,Ficus,erecta,Moraceae,Rosales,Angiosperms,7,3,2,3,0.61,0.62,0.54,0.62
Fraxinus lanuginosa,Fraxinus,lanuginosa,Oleaceae,Lamiales,Angiosperms,3,3,1,3,0.61,0.61,0.6,0.58
Hamamelis japonica,Hamamelis,japonica,Hamamelidaceae,Saxifragales,Angiosperms,1,1,1,1,0.56,0.56,0.56,0.52
Hovenia trichocarpa,Hovenia,trichocarpa,Rhamnaceae,Rosales,Angiosperms,6,2,1,2,0.49,0.49,0.53,0.43
Hydrangea paniculata,Hydrangea,paniculata,Hydrangeaceae,Cornales,Angiosperms,1,1,1,1,0.61,0.61,0.53,0.65
Ilex buergeri,Ilex,buergeri,Aquifoliaceae,Aquifoliales,Angiosperms,6,2,1,2,0.64,0.64,0.58,0.6
Ilex micrococca,Ilex,micrococca,Aquifoliaceae,Aquifoliales,Angiosperms,6,2,1,2,0.48,0.49,0.51,0.42
Ilex pedunculosa,Ilex,pedunculosa,Aquifoliaceae,Aquifoliales,Angiosperms,7,3,1,3,0.57,0.57,0.55,0.53
Ilex sugerokii,Ilex,sugerokii,Aquifoliaceae,Aquifoliales,Angiosperms,7,2,1,2,0.58,0.59,0.55,0.54
Ligustrum tschonoskii,Ligustrum,tschonoskii,Oleaceae,Lamiales,Angiosperms,4,2,1,2,0.71,0.71,0.67,0.67
Lindera glauca,Lindera,glauca,Lauraceae,Laurales,Angiosperms,6,2,1,2,0.63,0.63,0.56,0.6
Lindera praecox,Lindera,praecox,Lauraceae,Laurales,Angiosperms,6,2,1,2,0.58,0.58,0.54,0.54
Lindera triloba,Lindera,triloba,Lauraceae,Laurales,Angiosperms,7,3,2,3,0.54,0.55,0.53,0.51
Lindera umbellata,Lindera,umbellata,Lauraceae,Laurales,Angiosperms,1,1,1,1,0.54,0.54,0.52,0.52
Machilus japonica,Machilus,japonica,Lauraceae,Laurales,Angiosperms,5,2,1,2,0.5,0.5,0.52,0.48
Magnolia kobus,Magnolia,kobus,Magnoliaceae,Magnoliales,Angiosperms,6,2,1,2,0.43,0.43,0.48,0.38
Magnolia salicifolia,Magnolia,salicifolia,Magnoliaceae,Magnoliales,Angiosperms,6,2,1,2,0.53,0.53,0.52,0.49
Macromeles tschonoskii,Macromeles,tschonoskii,Rosaceae,Rosales,Angiosperms,1,1,1,1,0.7,0.7,0.65,0.69
Meliosma myriantha,Meliosma,myriantha,Sabiaceae,Proteales,Angiosperms,2,2,1,2,0.49,0.49,0.48,0.44
Morus indica,Morus,indica,Moraceae,Rosales,Angiosperms,1,1,1,1,0.58,0.58,0.53,0.55
Neoshirakia japonica,Neoshirakia,japonica,Euphorbiaceae,Malpighiales,Angiosperms,6,2,1,2,0.6,0.6,0.56,0.56
Orixa japonica,Orixa,japonica,Rutaceae,Sapindales,Angiosperms,1,1,1,1,0.6,0.61,0.59,0.56
Osmanthus heterophyllus,Osmanthus,heterophyllus,Oleaceae,Lamiales,Angiosperms,6,2,1,2,0.71,0.71,0.66,0.67
Picea glehnii,Picea,glehnii,Pinaceae,Pinales,Gymnosperms,7,3,1,3,0.47,0.48,0.53,0.43
Pieris japonica,Pieris,japonica,Ericaceae,Ericales,Angiosperms,6,2,1,2,0.55,0.55,0.55,0.5
Podocarpus macrophyllus,Podocarpus,macrophyllus,Podocarpaceae,Cupressales,Gymnosperms,6,2,1,2,0.55,0.56,0.55,0.55
Pourthiaea villosa,Pourthiaea,villosa,Rosaceae,Rosales,Angiosperms,1,1,1,1,0.69,0.69,0.64,0.68
Premna microphylla,Premna,microphylla,Lamiaceae,Lamiales,Angiosperms,6,2,1,2,0.59,0.59,0.56,0.56
Rhamnus japonica,Rhamnus,japonica,Rhamnaceae,Rosales,Angiosperms,1,1,1,1,0.64,0.65,0.62,0.6
Rhododendron japonoheptamerum,Rhododendron,japonoheptamerum,Ericaceae,Ericales,Angiosperms,6,2,1,2,0.6,0.6,0.53,0.56
Brucea javanica,Brucea,javanica,Simaroubaceae,Sapindales,Angiosperms,1,1,1,1,0.44,0.44,0.46,0.43
Stachyurus praecox,Stachyurus,praecox,Stachyuraceae,Crossosomatales,Angiosperms,1,1,1,1,0.55,0.56,0.55,0.53
Staphylea bumalda,Staphylea,bumalda,Staphyleaceae,Crossosomatales,Angiosperms,1,1,1,1,0.52,0.52,0.5,0.56
Symplocos coreana,Symplocos,coreana,Symplocaceae,Ericales,Angiosperms,6,2,1,2,0.63,0.63,0.54,0.6
Symplocos glauca,Symplocos,glauca,Symplocaceae,Ericales,Angiosperms,6,2,1,2,0.51,0.51,0.48,0.49
