binomial,genus,epithet,family,order,group,nb,nb_sources,nb_countries,nb_sites,wsg_est,wsg_est_trunk,wsg_est_branch,wsg_raw
Jupunba adenophora,Jupunba,adenophora,Fabaceae,Fabales,Angiosperms,4,4,4,4,0.59,0.58,0.59,0.61
Acrocomia intumescens,Acrocomia,intumescens,Arecaceae,Arecales,Angiosperms,1,1,1,1,1.04,1.06,0.82,1.3
Agonandra brasiliensis,Agonandra,brasiliensis,Opiliaceae,Santalales,Angiosperms,9,8,3,8,0.74,0.75,0.66,0.76
Alchornea glandulosa,Alchornea,glandulosa,Euphorbiaceae,Malpighiales,Angiosperms,20,12,6,13,0.39,0.39,0.41,0.38
Alexa grandiflora,Alexa,grandiflora,Fabaceae,Fabales,Angiosperms,13,8,1,8,0.58,0.58,0.55,0.61
Amaioua guianensis,Amaioua,guianensis,Rubiaceae,Gentianales,Angiosperms,13,9,3,9,0.62,0.6,0.61,0.61
Amburana acreana,Amburana,acreana,Fabaceae,Fabales,Angiosperms,3,3,2,3,0.56,0.56,0.55,0.55
Amburana cearensis,Amburana,cearensis,Fabaceae,Fabales,Angiosperms,41,16,6,19,0.5,0.5,0.51,0.51
Anacardium giganteum,Anacardium,giganteum,Anacardiaceae,Sapindales,Angiosperms,18,11,5,12,0.43,0.43,0.45,0.44
Anacardium occidentale,Anacardium,occidentale,Anacardiaceae,Sapindales,Angiosperms,16,9,10,12,0.46,0.46,0.47,0.46
Anacardium spruceanum,Anacardium,spruceanum,Anacardiaceae,Sapindales,Angiosperms,15,10,4,12,0.42,0.42,0.45,0.44
Anadenanthera colubrina,Anadenanthera,colubrina,Fabaceae,Fabales,Angiosperms,35,21,8,24,0.77,0.78,0.66,0.76
Andira cujabensis,Andira,cujabensis,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.7,0.71,0.65,0.76
Andira humilis,Andira,humilis,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.66,0.67,0.63,0.68
Andira inermis,Andira,inermis,Fabaceae,Fabales,Angiosperms,34,18,11,23,0.64,0.64,0.62,0.64
Andira parviflora,Andira,parviflora,Fabaceae,Fabales,Angiosperms,8,6,2,6,0.69,0.69,0.65,0.72
Aniba canelilla,Aniba,canelilla,Lauraceae,Laurales,Angiosperms,11,7,4,7,0.89,0.89,0.7,0.95
Aniba parviflora,Aniba,parviflora,Lauraceae,Laurales,Angiosperms,7,3,2,3,0.55,0.55,0.55,0.56
Aniba rosaeodora,Aniba,rosaeodora,Lauraceae,Laurales,Angiosperms,6,4,2,4,0.67,0.67,0.6,0.75
Aniba terminalis,Aniba,terminalis,Lauraceae,Laurales,Angiosperms,5,4,3,4,0.63,0.64,0.58,0.62
Annona crassiflora,Annona,crassiflora,Annonaceae,Magnoliales,Angiosperms,6,5,1,5,0.38,0.38,0.38,0.36
Annona glabra,Annona,glabra,Annonaceae,Magnoliales,Angiosperms,12,9,7,11,0.45,0.45,0.45,0.46
Annona mucosa,Annona,mucosa,Annonaceae,Magnoliales,Angiosperms,10,5,4,6,0.43,0.41,0.5,0.41
Annona neoinsignis,Annona,neoinsignis,Annonaceae,Magnoliales,Angiosperms,3,3,2,3,0.41,0.39,0.43,0.43
Annona reticulata,Annona,reticulata,Annonaceae,Magnoliales,Angiosperms,5,5,4,5,0.46,0.46,0.45,0.47
Annona salzmannii,Annona,salzmannii,Annonaceae,Magnoliales,Angiosperms,2,2,1,2,0.44,0.44,0.44,0.45
Antonia ovata,Antonia,ovata,Loganiaceae,Gentianales,Angiosperms,39,9,4,12,0.5,0.48,0.5,0.53
Apeiba tibourbou,Apeiba,tibourbou,Malvaceae,Malvales,Angiosperms,36,15,8,21,0.28,0.27,0.36,0.28
Apuleia leiocarpa,Apuleia,leiocarpa,Fabaceae,Fabales,Angiosperms,35,19,4,20,0.69,0.7,0.65,0.71
Arapatiella psilophylla,Arapatiella,psilophylla,Fabaceae,Fabales,Angiosperms,2,2,1,2,0.71,0.72,0.65,0.74
Araucaria angustifolia,Araucaria,angustifolia,Araucariaceae,Cupressales,Gymnosperms,37,11,3,11,0.45,0.45,0.46,0.45
Aspidosperma album,Aspidosperma,album,Apocynaceae,Gentianales,Angiosperms,32,12,8,18,0.74,0.74,0.76,0.75
Aspidosperma australe,Aspidosperma,australe,Apocynaceae,Gentianales,Angiosperms,11,9,4,10,0.65,0.66,0.62,0.66
Aspidosperma cylindrocarpon,Aspidosperma,cylindrocarpon,Apocynaceae,Gentianales,Angiosperms,18,13,6,16,0.66,0.67,0.65,0.66
Aspidosperma desmanthum,Aspidosperma,desmanthum,Apocynaceae,Gentianales,Angiosperms,25,11,10,17,0.78,0.79,0.72,0.79
Aspidosperma oblongum,Aspidosperma,oblongum,Apocynaceae,Gentianales,Angiosperms,9,5,4,6,0.77,0.77,0.72,0.8
Aspidosperma olivaceum,Aspidosperma,olivaceum,Apocynaceae,Gentianales,Angiosperms,6,4,2,4,0.65,0.68,0.61,0.63
Aspidosperma polyneuron,Aspidosperma,polyneuron,Apocynaceae,Gentianales,Angiosperms,20,15,6,17,0.68,0.68,0.62,0.69
Aspidosperma ramiflorum,Aspidosperma,ramiflorum,Apocynaceae,Gentianales,Angiosperms,2,2,1,2,0.68,0.69,0.66,0.7
Aspidosperma subincanum,Aspidosperma,subincanum,Apocynaceae,Gentianales,Angiosperms,6,5,3,6,0.71,0.71,0.67,0.72
Astrocaryum vulgare,Astrocaryum,vulgare,Arecaceae,Arecales,Angiosperms,1,1,1,1,0.7,0.71,0.62,0.83
Astronium fraxinifolium,Astronium,fraxinifolium,Anacardiaceae,Sapindales,Angiosperms,13,9,3,10,0.74,0.76,0.62,0.74
Astronium graveolens,Astronium,graveolens,Anacardiaceae,Sapindales,Angiosperms,47,24,9,29,0.74,0.77,0.57,0.75
Astronium lecointei,Astronium,lecointei,Anacardiaceae,Sapindales,Angiosperms,35,17,5,19,0.7,0.7,0.56,0.7
Myracrodruon urundeuva,Myracrodruon,urundeuva,Anacardiaceae,Sapindales,Angiosperms,21,11,4,15,0.89,0.92,0.73,0.88
Astronium ulei,Astronium,ulei,Anacardiaceae,Sapindales,Angiosperms,9,6,3,7,0.7,0.72,0.58,0.72
Bagassa guianensis,Bagassa,guianensis,Moraceae,Rosales,Angiosperms,26,13,6,16,0.65,0.66,0.57,0.66
Pterygota brasiliensis,Pterygota,brasiliensis,Malvaceae,Malvales,Angiosperms,5,4,1,4,0.42,0.4,0.49,0.44
Bellucia grossularioides,Bellucia,grossularioides,Melastomataceae,Myrtales,Angiosperms,26,7,5,12,0.55,0.54,0.54,0.57
Bertholletia excelsa,Bertholletia,excelsa,Lecythidaceae,Ericales,Angiosperms,17,13,5,13,0.6,0.6,0.6,0.63
Bixa arborea,Bixa,arborea,Bixaceae,Malvales,Angiosperms,13,8,4,9,0.32,0.3,0.39,0.34
Blepharocalyx salicifolius,Blepharocalyx,salicifolius,Myrtaceae,Myrtales,Angiosperms,13,10,4,10,0.66,0.67,0.61,0.65
Bowdichia nitida,Bowdichia,nitida,Fabaceae,Fabales,Angiosperms,5,5,2,5,0.76,0.77,0.63,0.82
Bowdichia virgilioides,Bowdichia,virgilioides,Fabaceae,Fabales,Angiosperms,36,8,4,11,0.64,0.71,0.52,0.62
Brosimum acutifolium,Brosimum,acutifolium,Moraceae,Rosales,Angiosperms,12,9,5,11,0.56,0.56,0.54,0.56
Brosimum guianense,Brosimum,guianense,Moraceae,Rosales,Angiosperms,66,24,10,35,0.76,0.77,0.59,0.77
Brosimum parinarioides,Brosimum,parinarioides,Moraceae,Rosales,Angiosperms,15,11,6,13,0.53,0.54,0.42,0.54
Terminalia ochroprumna,Terminalia,ochroprumna,Combretaceae,Myrtales,Angiosperms,2,2,1,2,0.7,0.7,0.66,0.75
Terminalia tetraphylla,Terminalia,tetraphylla,Combretaceae,Myrtales,Angiosperms,19,9,9,13,0.62,0.62,0.62,0.63
Byrsonima crassifolia,Byrsonima,crassifolia,Malpighiaceae,Malpighiales,Angiosperms,62,13,6,18,0.6,0.59,0.56,0.6
Byrsonima sericea,Byrsonima,sericea,Malpighiaceae,Malpighiales,Angiosperms,4,4,1,4,0.59,0.61,0.55,0.62
Cabralea canjerana,Cabralea,canjerana,Meliaceae,Sapindales,Angiosperms,17,14,4,14,0.52,0.54,0.45,0.53
Callisthene fasciculata,Callisthene,fasciculata,Vochysiaceae,Myrtales,Angiosperms,5,5,2,5,0.67,0.68,0.62,0.66
Callisthene major,Callisthene,major,Vochysiaceae,Myrtales,Angiosperms,3,3,1,3,0.64,0.63,0.61,0.63
Calophyllum brasiliense,Calophyllum,brasiliense,Calophyllaceae,Malpighiales,Angiosperms,66,32,16,41,0.54,0.54,0.65,0.55
Calycophyllum spruceanum,Calycophyllum,spruceanum,Rubiaceae,Gentianales,Angiosperms,13,9,6,10,0.71,0.71,0.65,0.7
Campsiandra laurifolia,Campsiandra,laurifolia,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.78,0.78,0.71,0.82
Caraipa densifolia,Caraipa,densifolia,Calophyllaceae,Malpighiales,Angiosperms,21,8,6,11,0.62,0.62,0.61,0.64
Caraipa richardiana,Caraipa,richardiana,Calophyllaceae,Malpighiales,Angiosperms,1,1,1,1,0.69,0.69,0.64,0.75
Caraipa valioi,Caraipa,valioi,Calophyllaceae,Malpighiales,Angiosperms,2,1,1,1,0.7,0.7,0.65,0.75
Carapa guianensis,Carapa,guianensis,Meliaceae,Sapindales,Angiosperms,48,11,12,20,0.54,0.54,0.58,0.55
Cardiopetalum calophyllum,Cardiopetalum,calophyllum,Annonaceae,Magnoliales,Angiosperms,2,2,1,2,0.57,0.58,0.56,0.59
Cariniana estrellensis,Cariniana,estrellensis,Lecythidaceae,Ericales,Angiosperms,13,11,4,11,0.58,0.59,0.55,0.59
Cariniana micrantha,Cariniana,micrantha,Lecythidaceae,Ericales,Angiosperms,4,4,1,4,0.51,0.51,0.52,0.57
Caryocar brasiliense,Caryocar,brasiliense,Caryocaraceae,Malpighiales,Angiosperms,8,7,2,8,0.61,0.63,0.56,0.57
Caryocar coriaceum,Caryocar,coriaceum,Caryocaraceae,Malpighiales,Angiosperms,2,2,1,2,0.64,0.65,0.6,0.66
Caryocar glabrum,Caryocar,glabrum,Caryocaraceae,Malpighiales,Angiosperms,35,12,5,16,0.66,0.66,0.6,0.66
Caryocar villosum,Caryocar,villosum,Caryocaraceae,Malpighiales,Angiosperms,9,8,2,8,0.69,0.69,0.62,0.72
Cassia grandis,Cassia,grandis,Fabaceae,Fabales,Angiosperms,4,2,2,3,0.66,0.66,0.63,0.66
Catostemma albuquerquei,Catostemma,albuquerquei,Malvaceae,Malvales,Angiosperms,3,3,1,3,0.66,0.67,0.61,0.71
Catostemma milanezii,Catostemma,milanezii,Malvaceae,Malvales,Angiosperms,1,1,1,1,0.55,0.55,0.55,0.56
Catostemma sclerophyllum,Catostemma,sclerophyllum,Malvaceae,Malvales,Angiosperms,3,3,1,3,0.6,0.6,0.58,0.63
Cavanillesia umbellata,Cavanillesia,umbellata,Malvaceae,Malvales,Angiosperms,3,3,2,3,0.15,0.15,0.27,0.12
Cecropia obtusa,Cecropia,obtusa,Urticaceae,Rosales,Angiosperms,7,4,2,4,0.3,0.29,0.32,0.29
Cecropia pachystachya,Cecropia,pachystachya,Urticaceae,Rosales,Angiosperms,10,10,2,10,0.35,0.35,0.36,0.36
Cecropia palmata,Cecropia,palmata,Urticaceae,Rosales,Angiosperms,2,2,1,2,0.28,0.28,0.34,0.28
Cecropia sciadophylla,Cecropia,sciadophylla,Urticaceae,Rosales,Angiosperms,45,15,7,20,0.33,0.33,0.37,0.33
Cedrela angustifolia,Cedrela,angustifolia,Meliaceae,Sapindales,Angiosperms,5,5,3,5,0.4,0.4,0.48,0.4
Cedrela fissilis,Cedrela,fissilis,Meliaceae,Sapindales,Angiosperms,25,16,7,21,0.45,0.44,0.5,0.44
Cedrela odorata,Cedrela,odorata,Meliaceae,Sapindales,Angiosperms,73,29,20,39,0.42,0.41,0.52,0.42
Cedrelinga cateniformis,Cedrelinga,cateniformis,Fabaceae,Fabales,Angiosperms,45,20,8,25,0.46,0.46,0.56,0.47
Ceiba pentandra,Ceiba,pentandra,Malvaceae,Malvales,Angiosperms,87,39,26,51,0.31,0.31,0.38,0.31
Ceiba speciosa,Ceiba,speciosa,Malvaceae,Malvales,Angiosperms,13,13,4,13,0.29,0.28,0.34,0.28
Celtis iguanaea,Celtis,iguanaea,Cannabaceae,Rosales,Angiosperms,16,8,7,10,0.58,0.58,0.59,0.58
Centrolobium tomentosum,Centrolobium,tomentosum,Fabaceae,Fabales,Angiosperms,6,6,3,6,0.62,0.6,0.64,0.62
Chamaecrista scleroxylon,Chamaecrista,scleroxylon,Fabaceae,Fabales,Angiosperms,5,3,1,3,0.86,0.86,0.83,0.89
Chaunochiton kappleri,Chaunochiton,kappleri,Olacaceae,Santalales,Angiosperms,14,9,4,11,0.53,0.53,0.54,0.55
Cheiloclinium cognatum,Cheiloclinium,cognatum,Celastraceae,Celastrales,Angiosperms,31,6,2,8,0.71,0.72,0.68,0.7
Chomelia parviflora,Chomelia,parviflora,Rubiaceae,Gentianales,Angiosperms,1,1,1,1,0.69,0.7,0.63,0.79
Chrysophyllum eximium,Chrysophyllum,eximium,Sapotaceae,Ericales,Angiosperms,4,3,2,3,0.66,0.66,0.63,0.65
Chrysophyllum sanguinolentum,Chrysophyllum,sanguinolentum,Sapotaceae,Ericales,Angiosperms,28,11,7,15,0.62,0.63,0.6,0.63
Chrysophyllum ucuquirana-branca,Chrysophyllum,ucuquirana-branca,Sapotaceae,Ericales,Angiosperms,3,2,1,2,0.69,0.7,0.64,0.73
Chrysophyllum viride,Chrysophyllum,viride,Sapotaceae,Ericales,Angiosperms,1,1,1,1,0.64,0.64,0.61,0.63
Clarisia biflora,Clarisia,biflora,Moraceae,Rosales,Angiosperms,18,8,6,10,0.53,0.53,0.57,0.54
Clarisia racemosa,Clarisia,racemosa,Moraceae,Rosales,Angiosperms,61,32,8,38,0.58,0.59,0.57,0.59
Clitoria fairchildiana,Clitoria,fairchildiana,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.58,0.58,0.57,0.59
Cocos nucifera,Cocos,nucifera,Arecaceae,Arecales,Angiosperms,10,5,7,8,0.51,0.51,0.52,0.51
Copaifera coriacea,Copaifera,coriacea,Fabaceae,Fabales,Angiosperms,2,1,1,1,0.65,0.65,0.61,0.7
Copaifera duckei,Copaifera,duckei,Fabaceae,Fabales,Angiosperms,4,4,1,4,0.58,0.59,0.58,0.6
Copaifera langsdorffii,Copaifera,langsdorffii,Fabaceae,Fabales,Angiosperms,14,8,3,10,0.6,0.61,0.57,0.59
Copaifera martii,Copaifera,martii,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.67,0.68,0.62,0.77
Copaifera multijuga,Copaifera,multijuga,Fabaceae,Fabales,Angiosperms,18,7,2,7,0.52,0.53,0.55,0.55
Cordia alliodora,Cordia,alliodora,Boraginaceae,Boraginales,Angiosperms,63,32,13,39,0.49,0.49,0.52,0.49
Cordia bicolor,Cordia,bicolor,Boraginaceae,Boraginales,Angiosperms,43,9,5,10,0.43,0.43,0.48,0.41
Cordia goeldiana,Cordia,goeldiana,Boraginaceae,Boraginales,Angiosperms,10,7,3,7,0.48,0.48,0.5,0.49
Cordiera macrophylla,Cordiera,macrophylla,Rubiaceae,Gentianales,Angiosperms,5,5,2,5,0.75,0.75,0.66,0.72
Corythophora rimosa,Corythophora,rimosa,Lecythidaceae,Ericales,Angiosperms,8,7,2,7,0.73,0.74,0.66,0.77
Couepia bracteosa,Couepia,bracteosa,Chrysobalanaceae,Malpighiales,Angiosperms,8,6,4,7,0.79,0.8,0.74,0.8
Acioa longipendula,Acioa,longipendula,Chrysobalanaceae,Malpighiales,Angiosperms,2,2,2,2,0.86,0.86,0.75,0.92
Couma macrocarpa,Couma,macrocarpa,Apocynaceae,Gentianales,Angiosperms,12,8,3,10,0.52,0.52,0.5,0.53
Couroupita guianensis,Couroupita,guianensis,Lecythidaceae,Ericales,Angiosperms,13,6,8,9,0.44,0.44,0.47,0.45
Coussarea hydrangeifolia,Coussarea,hydrangeifolia,Rubiaceae,Gentianales,Angiosperms,3,3,1,3,0.62,0.64,0.56,0.63
Cryptocarya aschersoniana,Cryptocarya,aschersoniana,Lauraceae,Laurales,Angiosperms,7,5,2,5,0.58,0.58,0.53,0.57
Cupania vernalis,Cupania,vernalis,Sapindaceae,Sapindales,Angiosperms,13,13,3,13,0.66,0.66,0.67,0.66
Curatella americana,Curatella,americana,Dilleniaceae,Dilleniales,Angiosperms,62,7,5,13,0.52,0.6,0.42,0.53
Dalbergia brasiliensis,Dalbergia,brasiliensis,Fabaceae,Fabales,Angiosperms,3,3,1,3,0.71,0.72,0.62,0.73
Dalbergia cearensis,Dalbergia,cearensis,Fabaceae,Fabales,Angiosperms,18,6,1,6,0.76,0.77,0.61,0.8
Dalbergia miscolobium,Dalbergia,miscolobium,Fabaceae,Fabales,Angiosperms,10,7,1,7,0.7,0.73,0.65,0.69
Dalbergia nigra,Dalbergia,nigra,Fabaceae,Fabales,Angiosperms,18,10,2,10,0.73,0.74,0.63,0.76
Dalbergia spruceana,Dalbergia,spruceana,Fabaceae,Fabales,Angiosperms,5,3,1,3,0.82,0.83,0.67,0.85
Dialium guianense,Dialium,guianense,Fabaceae,Fabales,Angiosperms,52,26,11,34,0.77,0.79,0.63,0.78
Dicorynia paraensis,Dicorynia,paraensis,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.7,0.7,0.63,0.76
Dimorphandra caudata,Dimorphandra,caudata,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.63,0.63,0.61,0.63
Dimorphandra gardneriana,Dimorphandra,gardneriana,Fabaceae,Fabales,Angiosperms,3,3,1,3,0.67,0.69,0.63,0.7
Dimorphandra ignea,Dimorphandra,ignea,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.67,0.68,0.63,0.71
Dimorphandra mollis,Dimorphandra,mollis,Fabaceae,Fabales,Angiosperms,4,4,2,4,0.68,0.7,0.62,0.67
Dimorphandra wilsonii,Dimorphandra,wilsonii,Fabaceae,Fabales,Angiosperms,2,2,1,2,0.67,0.68,0.63,0.7
Dinizia excelsa,Dinizia,excelsa,Fabaceae,Fabales,Angiosperms,17,12,4,12,0.83,0.84,0.72,0.85
Diospyros capreifolia,Diospyros,capreifolia,Ebenaceae,Ericales,Angiosperms,9,5,3,6,0.72,0.73,0.63,0.74
Diospyros guianensis,Diospyros,guianensis,Ebenaceae,Ericales,Angiosperms,4,3,4,4,0.59,0.59,0.58,0.57
Diospyros lasiocalyx,Diospyros,lasiocalyx,Ebenaceae,Ericales,Angiosperms,5,4,1,4,0.57,0.58,0.55,0.55
Diplokeleba floribunda,Diplokeleba,floribunda,Sapindaceae,Sapindales,Angiosperms,4,4,2,4,0.76,0.76,0.68,0.76
Diplotropis martiusii,Diplotropis,martiusii,Fabaceae,Fabales,Angiosperms,5,4,3,4,0.71,0.71,0.64,0.71
Diplotropis purpurea,Diplotropis,purpurea,Fabaceae,Fabales,Angiosperms,39,18,7,22,0.74,0.75,0.64,0.75
Dipteryx alata,Dipteryx,alata,Fabaceae,Fabales,Angiosperms,12,9,5,10,0.81,0.83,0.72,0.8
Dipteryx odorata,Dipteryx,odorata,Fabaceae,Fabales,Angiosperms,43,22,7,26,0.86,0.86,0.76,0.88
Drypetes variabilis,Drypetes,variabilis,Putranjivaceae,Malpighiales,Angiosperms,19,13,6,15,0.72,0.72,0.66,0.74
Duckeodendron cestroides,Duckeodendron,cestroides,Solanaceae,Solanales,Angiosperms,4,4,2,4,0.55,0.55,0.54,0.58
Duguetia cauliflora,Duguetia,cauliflora,Annonaceae,Magnoliales,Angiosperms,1,1,1,1,0.57,0.58,0.56,0.52
Duguetia lanceolata,Duguetia,lanceolata,Annonaceae,Magnoliales,Angiosperms,4,4,1,4,0.66,0.69,0.58,0.67
Ecclinusa ramiflora,Ecclinusa,ramiflora,Sapotaceae,Ericales,Angiosperms,13,7,4,11,0.58,0.59,0.53,0.6
Emmotum nitens,Emmotum,nitens,Icacinaceae,Icacinales,Angiosperms,7,6,2,6,0.69,0.72,0.62,0.69
Endopleura uchi,Endopleura,uchi,Humiriaceae,Malpighiales,Angiosperms,19,10,2,10,0.74,0.74,0.73,0.75
Enterolobium contortisiliquum,Enterolobium,contortisiliquum,Fabaceae,Fabales,Angiosperms,17,12,4,14,0.41,0.41,0.45,0.4
Enterolobium gummiferum,Enterolobium,gummiferum,Fabaceae,Fabales,Angiosperms,4,4,1,4,0.52,0.53,0.5,0.52
Enterolobium schomburgkii,Enterolobium,schomburgkii,Fabaceae,Fabales,Angiosperms,59,19,7,24,0.66,0.66,0.58,0.67
Eriotheca gracilipes,Eriotheca,gracilipes,Malvaceae,Malvales,Angiosperms,5,4,1,4,0.46,0.44,0.48,0.44
Erisma bicolor,Erisma,bicolor,Vochysiaceae,Myrtales,Angiosperms,2,2,1,2,0.48,0.48,0.49,0.5
Erisma fuscum,Erisma,fuscum,Vochysiaceae,Myrtales,Angiosperms,2,2,1,2,0.49,0.49,0.5,0.57
Erisma lanceolatum,Erisma,lanceolatum,Vochysiaceae,Myrtales,Angiosperms,1,1,1,1,0.53,0.54,0.52,0.59
Erisma uncinatum,Erisma,uncinatum,Vochysiaceae,Myrtales,Angiosperms,56,20,7,26,0.47,0.47,0.46,0.48
Eschweilera coriacea,Eschweilera,coriacea,Lecythidaceae,Ericales,Angiosperms,83,23,9,44,0.76,0.8,0.65,0.77
Eugenia dysenterica,Eugenia,dysenterica,Myrtaceae,Myrtales,Angiosperms,5,3,1,3,0.73,0.75,0.69,0.72
Eugenia fusca,Eugenia,fusca,Myrtaceae,Myrtales,Angiosperms,2,2,1,2,0.7,0.7,0.67,0.72
Euplassa inaequalis,Euplassa,inaequalis,Proteaceae,Proteales,Angiosperms,2,2,1,2,0.55,0.55,0.55,0.57
Euxylophora paraensis,Euxylophora,paraensis,Rutaceae,Sapindales,Angiosperms,7,4,2,4,0.66,0.67,0.63,0.68
Faramea hyacinthina,Faramea,hyacinthina,Rubiaceae,Gentianales,Angiosperms,2,2,1,2,0.73,0.74,0.64,0.79
Faramea nigrescens,Faramea,nigrescens,Rubiaceae,Gentianales,Angiosperms,2,1,1,1,0.66,0.67,0.61,0.71
Garcinia benthamiana,Garcinia,benthamiana,Clusiaceae,Malpighiales,Angiosperms,4,2,3,4,0.69,0.69,0.6,0.71
Garcinia macrophylla,Garcinia,macrophylla,Clusiaceae,Malpighiales,Angiosperms,12,8,3,9,0.71,0.71,0.63,0.71
Genipa americana,Genipa,americana,Rubiaceae,Gentianales,Angiosperms,46,18,15,28,0.64,0.64,0.61,0.64
Geoffroea spinosa,Geoffroea,spinosa,Fabaceae,Fabales,Angiosperms,3,3,2,3,0.56,0.56,0.56,0.56
Glycydendron amazonicum,Glycydendron,amazonicum,Euphorbiaceae,Malpighiales,Angiosperms,23,7,5,9,0.59,0.6,0.52,0.6
Goupia glabra,Goupia,glabra,Goupiaceae,Malpighiales,Angiosperms,73,30,9,37,0.66,0.67,0.62,0.69
Guarea guidonia,Guarea,guidonia,Meliaceae,Sapindales,Angiosperms,76,32,16,41,0.58,0.58,0.56,0.57
Guarea kunthiana,Guarea,kunthiana,Meliaceae,Sapindales,Angiosperms,33,16,6,21,0.57,0.58,0.52,0.55
Guatteria discolor,Guatteria,discolor,Annonaceae,Magnoliales,Angiosperms,3,2,2,2,0.57,0.58,0.52,0.61
Guatteria scytophylla,Guatteria,scytophylla,Annonaceae,Magnoliales,Angiosperms,4,3,1,3,0.54,0.54,0.5,0.53
Guazuma ulmifolia,Guazuma,ulmifolia,Malvaceae,Malvales,Angiosperms,50,25,15,32,0.51,0.52,0.44,0.51
Handroanthus barbatus,Handroanthus,barbatus,Bignoniaceae,Lamiales,Angiosperms,3,2,1,2,0.73,0.74,0.64,0.75
Handroanthus heptaphyllus,Handroanthus,heptaphyllus,Bignoniaceae,Lamiales,Angiosperms,18,11,4,12,0.82,0.82,0.67,0.84
Handroanthus impetiginosus,Handroanthus,impetiginosus,Bignoniaceae,Lamiales,Angiosperms,32,20,9,21,0.77,0.77,0.68,0.78
Handroanthus ochraceus,Handroanthus,ochraceus,Bignoniaceae,Lamiales,Angiosperms,10,5,3,7,0.78,0.8,0.68,0.76
Handroanthus serratifolius,Handroanthus,serratifolius,Bignoniaceae,Lamiales,Angiosperms,53,24,8,30,0.87,0.89,0.67,0.89
Haploclathra paniculata,Haploclathra,paniculata,Calophyllaceae,Malpighiales,Angiosperms,3,2,1,2,0.65,0.65,0.65,0.65
Heisteria ovata,Heisteria,ovata,Olacaceae,Santalales,Angiosperms,5,5,2,5,0.69,0.68,0.68,0.68
Helicostylis tomentosa,Helicostylis,tomentosa,Moraceae,Rosales,Angiosperms,39,17,9,25,0.63,0.64,0.52,0.65
Hirtella glandulosa,Hirtella,glandulosa,Chrysobalanaceae,Malpighiales,Angiosperms,11,6,2,7,0.77,0.78,0.72,0.78
Hirtella gracilipes,Hirtella,gracilipes,Chrysobalanaceae,Malpighiales,Angiosperms,1,1,1,1,0.73,0.73,0.68,0.74
Hirtella martiana,Hirtella,martiana,Chrysobalanaceae,Malpighiales,Angiosperms,4,3,1,3,0.79,0.8,0.72,0.83
Hura crepitans,Hura,crepitans,Euphorbiaceae,Malpighiales,Angiosperms,68,24,11,32,0.37,0.37,0.43,0.37
Hieronyma alchorneoides,Hieronyma,alchorneoides,Phyllanthaceae,Malpighiales,Angiosperms,67,26,13,33,0.58,0.59,0.52,0.59
Hymenaea courbaril,Hymenaea,courbaril,Fabaceae,Fabales,Angiosperms,88,36,17,49,0.74,0.75,0.65,0.76
Hymenaea stigonocarpa,Hymenaea,stigonocarpa,Fabaceae,Fabales,Angiosperms,8,6,1,6,0.7,0.76,0.64,0.69
Hymenolobium excelsum,Hymenolobium,excelsum,Fabaceae,Fabales,Angiosperms,18,8,5,9,0.63,0.63,0.59,0.64
Hymenolobium heringerianum,Hymenolobium,heringerianum,Fabaceae,Fabales,Angiosperms,1,1,1,1,0.66,0.67,0.61,0.71
Hymenolobium modestum,Hymenolobium,modestum,Fabaceae,Fabales,Angiosperms,6,4,2,4,0.61,0.62,0.58,0.62
Hymenolobium nitidum,Hymenolobium,nitidum,Fabaceae,Fabales,Angiosperms,4,3,2,3,0.66,0.67,0.62,0.69
Hymenolobium petraeum,Hymenolobium,petraeum,Fabaceae,Fabales,Angiosperms,5,4,2,5,0.69,0.7,0.62,0.74
Inga alba,Inga,alba,Fabaceae,Fabales,Angiosperms,57,19,10,29,0.56,0.56,0.56,0.56
Inga capitata,Inga,capitata,Fabaceae,Fabales,Angiosperms,14,8,7,12,0.59,0.6,0.55,0.59
Inga cinnamomea,Inga,cinnamomea,Fabaceae,Fabales,Angiosperms,6,5,2,5,0.57,0.57,0.57,0.61
Inga edulis,Inga,edulis,Fabaceae,Fabales,Angiosperms,22,14,7,15,0.52,0.52,0.54,0.51
Inga laurina,Inga,laurina,Fabaceae,Fabales,Angiosperms,21,9,7,11,0.65,0.65,0.62,0.65
Inga affinis,Inga,affinis,Fabaceae,Fabales,Angiosperms,5,3,2,3,0.64,0.64,0.6,0.66
Ixora brevifolia,Ixora,brevifolia,Rubiaceae,Gentianales,Angiosperms,2,2,1,2,0.68,0.69,0.68,0.7
Jacaranda copaia,Jacaranda,copaia,Bignoniaceae,Lamiales,Angiosperms,122,29,12,43,0.38,0.37,0.47,0.4
Jacaranda cuspidifolia,Jacaranda,cuspidifolia,Bignoniaceae,Lamiales,Angiosperms,2,2,2,2,0.51,0.51,0.55,0.52
